1	9.72	0.259
2	13.609	0.468
3	7.086	0.342
4	20.321	0.362
5	13.301	0.131
6	10.72	0.184
7	12.736	0.575
8	10.36	0.104
9	9.924	0.473
10	6.943	0.414
11	9.464	0.297
12	4.68	0.103
13	14.445	0.429
14	8.64	0.341
15	13.941	1.128
16	17.64	0.64
17	16.2	0.463
18	4.612	0.386
19	5.076	0.384
20	11.7	0.348
21	7.74	0.355
22	15.941	0.604
23	10.189	0.863
24	12.06	0.385
25	16.38	0.305
26	5.4	0.108
27	18.9	0.333
28	14.012	0.675
29	7.351	0.489
30	7.938	0.488
31	8.86	0.559
32	15.858	0.634
33	12.802	0.864
34	10.624	0.286
35	11.164	0.698
36	9.54	0.59
37	13.918	0.827
38	12.06	0.34
39	28.506	0.48
40	11.708	0.854
41	12.521	0.325
42	14.235	0.624
43	16.02	0.328
44	12.118	0.333
45	8.219	0.369
46	17.1	0.792
47	11.233	0.694
48	23.22	0.525
49	8.788	0.909
50	14.76	0.718
51	8.828	0.404
52	8.662	0.4
53	12.057	0.641
54	7.783	0.582
55	12.24	0.4
56	9.72	0.207
57	14.76	0.464
58	14.04	0.514
59	10.343	0.576
60	10.44	0.387
61	14.58	0.656
62	7.129	0.728
63	6.12	0.195
64	14.883	0.725
65	17.545	0.498
66	2.542	0.254
67	12.449	0.317
68	9.465	0.435
69	11.358	0.347
70	14.501	0.507
71	18.271	0.658
72	11.267	0.33
73	10.364	0.304
74	12.24	0.448
75	10.8	0.287
76	11.34	0.356
77	7.327	0.635
78	6.84	0.358
79	11.34	0.356
80	15.607	0.649
81	17.906	0.726
82	11.003	0.605
83	5.141	0.198
84	8.921	0.289
85	5.22	0.158
86	19.282	1.407
87	12.233	0.377
88	15.304	0.572
89	5.321	0.101
90	16.841	0.455
91	10.606	0.548
92	5.22	0.155
93	13.5	0.326
94	19.124	0.973
95	38.406	1.62
96	11.06	0.859
97	8.561	0.538
98	5.006	0.723
99	9.184	0.339
100	15.3	0.496
101	13.961	0.302
102	7.92	0.266
103	14.58	0.97
104	12.42	0.418
105	15.48	0.819
106	12.6	0.239
107	9.18	0.368
108	15.12	0.531
109	16.02	0.59
110	9.18	0.242
111	12.96	0.286
112	4.86	0.097
113	3.6	0.103
114	11.248	0.142
115	7.605	0.337
116	20.02	0.084
117	9.18	0.44
118	8.28	0.168
119	9,000	0.44
120	10.44	0.199
121	12.24	0.434
122	12.6	1.157
123	6.318	0.268
124	12.942	0.573
125	15.454	0.102
126	15.48	0.466
127	12.05	0.737
128	15.48	0.466
129	11.7	0.369
130	6.12	0.367
131	22.5	1.63
132	4.666	0.329
133	14.58	0.303
134	14.58	0.303
135	8.64	0.329
136	15.319	0.475
137	16.182	0.933
138	10.08	0.257
139	8.021	0.17
140	26.89	0.522
141	12.6	0.534
142	7.61	0.63
143	16.15	0.372
144	9.72	0.341
145	22.32	0.975
146	13.68	0.3
147	9.36	0.386
148	14.22	0.46
149	16.38	0.62
159	31.805	1.037
151	14.22	0.694
152	19.98	0.525
154	20.52	0.721
155	12.226	0.873
156	16.231	0.909
157	9.72	0.806
158	18.044	0.677
159	31.805	1.037
160	18.165	1.665
